,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater1 2,Rater1 3,Rater1 4,Rater1 5,Rater1 6,Rater2 1,Rater2 2,Rater2 3,Rater2 4,Rater2 5,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
Rater2 1,"P: 0.544, S: 0.532","P: 0.865, S: 0.844","P: 0.769, S: 0.754","P: 0.395, S: 0.366","P: 0.502, S: 0.486","P: 0.492, S: 0.475","P: 0.445, S: 0.419","P: 0.454, S: 0.438","P: 0.474, S: 0.461","P: 0.485, S: 0.471",,"P: 0.811, S: 0.799","P: 0.780, S: 0.755","P: 0.694, S: 0.673","P: 0.702, S: 0.670","P: 0.670, S: 0.623","P: 0.396, S: 0.380","P: 0.320, S: 0.309","P: 0.282, S: 0.252","P: 0.357, S: 0.327","P: 0.285, S: 0.260","P: 0.262, S: 0.245"
Rater2 2,"P: 0.529, S: 0.514","P: 0.877, S: 0.852","P: 0.769, S: 0.746","P: 0.388, S: 0.338","P: 0.474, S: 0.468","P: 0.493, S: 0.478","P: 0.425, S: 0.402","P: 0.445, S: 0.432","P: 0.468, S: 0.452","P: 0.466, S: 0.444","P: 0.811, S: 0.799",,"P: 0.743, S: 0.723","P: 0.715, S: 0.689","P: 0.733, S: 0.703","P: 0.681, S: 0.645","P: 0.387, S: 0.357","P: 0.352, S: 0.326","P: 0.238, S: 0.187","P: 0.326, S: 0.292","P: 0.269, S: 0.233","P: 0.257, S: 0.237"
Rater2 3,"P: 0.504, S: 0.495","P: 0.766, S: 0.737","P: 0.695, S: 0.680","P: 0.387, S: 0.365","P: 0.461, S: 0.442","P: 0.462, S: 0.446","P: 0.407, S: 0.389","P: 0.438, S: 0.411","P: 0.438, S: 0.421","P: 0.449, S: 0.440","P: 0.780, S: 0.755","P: 0.743, S: 0.723",,"P: 0.747, S: 0.736","P: 0.675, S: 0.662","P: 0.608, S: 0.570","P: 0.404, S: 0.393","P: 0.322, S: 0.319","P: 0.287, S: 0.259","P: 0.362, S: 0.344","P: 0.258, S: 0.233","P: 0.233, S: 0.228"
Rater2 4,"P: 0.532, S: 0.532","P: 0.785, S: 0.743","P: 0.722, S: 0.693","P: 0.400, S: 0.366","P: 0.501, S: 0.498","P: 0.490, S: 0.489","P: 0.444, S: 0.429","P: 0.467, S: 0.469","P: 0.466, S: 0.463","P: 0.463, S: 0.448","P: 0.694, S: 0.673","P: 0.715, S: 0.689","P: 0.747, S: 0.736",,"P: 0.751, S: 0.736","P: 0.671, S: 0.627","P: 0.427, S: 0.405","P: 0.335, S: 0.322","P: 0.305, S: 0.271","P: 0.384, S: 0.357","P: 0.265, S: 0.239","P: 0.226, S: 0.206"
Rater2 5,"P: 0.525, S: 0.513","P: 0.882, S: 0.849","P: 0.763, S: 0.739","P: 0.397, S: 0.355","P: 0.470, S: 0.456","P: 0.465, S: 0.449","P: 0.411, S: 0.383","P: 0.457, S: 0.450","P: 0.483, S: 0.477","P: 0.466, S: 0.444","P: 0.702, S: 0.670","P: 0.733, S: 0.703","P: 0.675, S: 0.662","P: 0.751, S: 0.736",,"P: 0.752, S: 0.716","P: 0.412, S: 0.379","P: 0.344, S: 0.332","P: 0.289, S: 0.247","P: 0.378, S: 0.345","P: 0.267, S: 0.228","P: 0.232, S: 0.209"
Rater2 6,"P: 0.528, S: 0.521","P: 0.919, S: 0.903","P: 0.802, S: 0.791","P: 0.390, S: 0.360","P: 0.430, S: 0.419","P: 0.444, S: 0.423","P: 0.387, S: 0.363","P: 0.434, S: 0.431","P: 0.478, S: 0.475","P: 0.508, S: 0.492","P: 0.670, S: 0.623","P: 0.681, S: 0.645","P: 0.608, S: 0.570","P: 0.671, S: 0.627","P: 0.752, S: 0.716",,"P: 0.399, S: 0.373","P: 0.327, S: 0.322","P: 0.240, S: 0.203","P: 0.343, S: 0.312","P: 0.232, S: 0.198","P: 0.278, S: 0.266"
System Ideas and Content,"P: 0.482, S: 0.469","P: 0.447, S: 0.427","P: 0.517, S: 0.498","P: 0.853, S: 0.837","P: 0.417, S: 0.395","P: 0.409, S: 0.388","P: 0.424, S: 0.395","P: 0.403, S: 0.377","P: 0.424, S: 0.394","P: 0.453, S: 0.446","P: 0.396, S: 0.380","P: 0.387, S: 0.357","P: 0.404, S: 0.393","P: 0.427, S: 0.405","P: 0.412, S: 0.379","P: 0.399, S: 0.373",,"P: 0.712, S: 0.695","P: 0.711, S: 0.655","P: 0.689, S: 0.660","P: 0.552, S: 0.537","P: 0.436, S: 0.394"
System Organization,"P: 0.383, S: 0.388","P: 0.374, S: 0.376","P: 0.413, S: 0.416","P: 0.854, S: 0.831","P: 0.302, S: 0.291","P: 0.300, S: 0.290","P: 0.334, S: 0.325","P: 0.324, S: 0.299","P: 0.371, S: 0.360","P: 0.372, S: 0.382","P: 0.320, S: 0.309","P: 0.352, S: 0.326","P: 0.322, S: 0.319","P: 0.335, S: 0.322","P: 0.344, S: 0.332","P: 0.327, S: 0.322","P: 0.712, S: 0.695",,"P: 0.617, S: 0.577","P: 0.655, S: 0.624","P: 0.548, S: 0.516","P: 0.502, S: 0.463"
System Voice,"P: 0.366, S: 0.329","P: 0.289, S: 0.256","P: 0.366, S: 0.325","P: 0.775, S: 0.755","P: 0.297, S: 0.258","P: 0.305, S: 0.260","P: 0.342, S: 0.304","P: 0.313, S: 0.264","P: 0.345, S: 0.306","P: 0.346, S: 0.322","P: 0.282, S: 0.252","P: 0.238, S: 0.187","P: 0.287, S: 0.259","P: 0.305, S: 0.271","P: 0.289, S: 0.247","P: 0.240, S: 0.203","P: 0.711, S: 0.655","P: 0.617, S: 0.577",,"P: 0.659, S: 0.642","P: 0.554, S: 0.547","P: 0.429, S: 0.404"
System Word Choice,"P: 0.401, S: 0.368","P: 0.392, S: 0.365","P: 0.434, S: 0.396","P: 0.812, S: 0.794","P: 0.343, S: 0.312","P: 0.324, S: 0.299","P: 0.350, S: 0.316","P: 0.370, S: 0.322","P: 0.369, S: 0.326","P: 0.379, S: 0.351","P: 0.357, S: 0.327","P: 0.326, S: 0.292","P: 0.362, S: 0.344","P: 0.384, S: 0.357","P: 0.378, S: 0.345","P: 0.343, S: 0.312","P: 0.689, S: 0.660","P: 0.655, S: 0.624","P: 0.659, S: 0.642",,"P: 0.613, S: 0.587","P: 0.515, S: 0.475"
System Sentence Fluency,"P: 0.353, S: 0.323","P: 0.288, S: 0.260","P: 0.342, S: 0.313","P: 0.738, S: 0.724","P: 0.274, S: 0.242","P: 0.294, S: 0.266","P: 0.292, S: 0.271","P: 0.320, S: 0.289","P: 0.341, S: 0.306","P: 0.337, S: 0.321","P: 0.285, S: 0.260","P: 0.269, S: 0.233","P: 0.258, S: 0.233","P: 0.265, S: 0.239","P: 0.267, S: 0.228","P: 0.232, S: 0.198","P: 0.552, S: 0.537","P: 0.548, S: 0.516","P: 0.554, S: 0.547","P: 0.613, S: 0.587",,"P: 0.538, S: 0.513"
System Conventions,"P: 0.297, S: 0.272","P: 0.293, S: 0.282","P: 0.306, S: 0.289","P: 0.763, S: 0.709","P: 0.209, S: 0.197","P: 0.231, S: 0.221","P: 0.175, S: 0.162","P: 0.221, S: 0.205","P: 0.288, S: 0.263","P: 0.301, S: 0.273","P: 0.262, S: 0.245","P: 0.257, S: 0.237","P: 0.233, S: 0.228","P: 0.226, S: 0.206","P: 0.232, S: 0.209","P: 0.278, S: 0.266","P: 0.436, S: 0.394","P: 0.502, S: 0.463","P: 0.429, S: 0.404","P: 0.515, S: 0.475","P: 0.538, S: 0.513",
